Date ,Day,Month,Quarter,Year,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,No of trades 
10-Apr-24,Wednesday,April,Q2,2024,EQ,2932.70,2974.00,2932.70,2927.30,2955.00,2959.15,2956.51,3024.90,2220.30,4569165.00,247782.00
09-Apr-24,Tuesday,April,Q2,2024,EQ,2978.00,2979.60,2925.00,2971.95,2931.90,2927.30,2942.09,3024.90,2220.30,3535707.00,166238.00
08-Apr-24,Monday,April,Q2,2024,EQ,2925.95,2981.95,2922.00,2920.20,2970.00,2971.95,2967.76,3024.90,2220.30,4178559.00,144054.00
05-Apr-24,Friday,April,Q2,2024,EQ,2921.75,2941.60,2912.00,2925.85,2925.95,2920.20,2924.97,3024.90,2220.30,3721149.00,138742.00
04-Apr-24,Thursday,April,Q2,2024,EQ,2959.50,2959.50,2900.00,2943.20,2931.00,2925.85,2924.41,3024.90,2220.30,7245136.00,305593.00
03-Apr-24,Wednesday,April,Q2,2024,EQ,2964.15,2968.90,2937.80,2973.90,2944.95,2943.20,2950.91,3024.90,2220.30,3504146.00,152022.00
02-Apr-24,Tuesday,April,Q2,2024,EQ,2968.00,2988.00,2950.00,2969.55,2977.00,2973.90,2964.64,3024.90,2220.30,4455083.00,144866.00
01-Apr-24,Monday,April,Q2,2024,EQ,2984.95,2987.95,2965.00,2971.70,2974.80,2969.55,2973.78,3024.90,2220.30,2506940.00,128873.00
28-Mar-24,Thursday,March,Q1,2024,EQ,2985.75,3011.90,2957.30,2985.70,2970.30,2971.70,2988.81,3024.90,2220.30,10927182.00,289271.00
27-Mar-24,Wednesday,March,Q1,2024,EQ,2896.00,3000.00,2894.00,2883.15,2983.75,2985.70,2972.19,3024.90,2220.30,8163322.00,299800.00
26-Mar-24,Tuesday,March,Q1,2024,EQ,2890.00,2904.80,2878.00,2910.05,2886.70,2883.15,2887.28,3024.90,2220.30,5707953.00,174805.00
22-Mar-24,Friday,March,Q1,2024,EQ,2899.95,2920.00,2894.70,2901.95,2906.55,2910.05,2909.59,3024.90,2220.30,9763804.00,286746.00
21-Mar-24,Thursday,March,Q1,2024,EQ,2905.05,2915.80,2889.35,2887.50,2900.05,2901.95,2903.52,3024.90,2220.30,6503468.00,244846.00
20-Mar-24,Wednesday,March,Q1,2024,EQ,2855.90,2890.00,2848.05,2850.50,2886.25,2887.50,2874.53,3024.90,2220.30,4244403.00,208132.00
19-Mar-24,Tuesday,March,Q1,2024,EQ,2857.50,2875.20,2834.50,2878.95,2849.15,2850.50,2848.79,3024.90,2220.30,4137882.00,196658.00
18-Mar-24,Monday,March,Q1,2024,EQ,2840.00,2883.45,2833.05,2836.45,2874.00,2878.95,2858.10,3024.90,2220.30,4584696.00,228224.00
15-Mar-24,Friday,March,Q1,2024,EQ,2851.90,2866.45,2825.80,2862.95,2838.00,2836.45,2839.66,3024.90,2220.30,9611909.00,249827.00
14-Mar-24,Thursday,March,Q1,2024,EQ,2879.40,2897.05,2851.00,2864.35,2870.00,2862.95,2871.07,3024.90,2220.30,9285551.00,343017.00
13-Mar-24,Wednesday,March,Q1,2024,EQ,2959.55,2966.20,2855.55,2950.85,2873.20,2864.35,2889.98,3024.90,2220.30,6761067.00,255973.00
12-Mar-24,Tuesday,March,Q1,2024,EQ,2933.20,2976.00,2930.05,2933.20,2953.50,2950.85,2956.49,3024.90,2220.30,4716339.00,178946.00
11-Mar-24,Monday,March,Q1,2024,EQ,2978.00,2978.00,2927.00,2957.85,2928.00,2933.20,2950.20,3024.90,2220.30,5638565.00,255615.00
07-Mar-24,Thursday,March,Q1,2024,EQ,3005.95,3006.20,2951.10,3006.00,2957.00,2957.85,2973.36,3024.90,2220.30,4157863.00,195070.00
06-Mar-24,Wednesday,March,Q1,2024,EQ,2986.90,3018.00,2957.00,3000.40,3002.85,3006.00,2991.36,3024.90,2220.30,3902838.00,205634.00
05-Mar-24,Tuesday,March,Q1,2024,EQ,3011.55,3014.80,2972.10,3014.80,2996.00,3000.40,2992.50,3024.90,2220.30,3553834.00,213477.00
04-Mar-24,Monday,March,Q1,2024,EQ,2980.95,3024.90,2974.45,2982.15,3010.00,3014.80,3003.93,3024.90,2220.30,5012210.00,240680.00
02-Mar-24,Saturday,March,Q1,2024,EQ,2984.00,3000.90,2976.00,2984.25,2980.95,2982.15,2989.65,3000.90,2220.30,358150.00,18856.00
01-Mar-24,Friday,March,Q1,2024,EQ,2927.00,3000.00,2925.00,2921.60,2977.00,2984.25,2966.96,3000.00,2220.30,6066463.00,272154.00
29-Feb-24,Thursday,February,Q1,2024,EQ,2930.00,2957.95,2909.05,2911.25,2930.75,2921.60,2927.13,2999.90,2220.30,11814488.00,298691.00
28-Feb-24,Wednesday,February,Q1,2024,EQ,2966.00,2982.55,2900.35,2971.30,2915.00,2911.25,2931.01,2999.90,2220.30,4323975.00,216192.00
27-Feb-24,Tuesday,February,Q1,2024,EQ,2966.05,2999.90,2956.10,2974.65,2971.00,2971.30,2974.38,2999.90,2220.30,5413022.00,197414.00
26-Feb-24,Monday,February,Q1,2024,EQ,2987.10,2989.05,2965.00,2987.25,2975.10,2974.65,2974.31,2995.10,2220.30,3756553.00,141799.00
23-Feb-24,Friday,February,Q1,2024,EQ,2979.00,2995.10,2966.70,2963.50,2986.55,2987.25,2982.96,2995.10,2220.30,7219292.00,255210.00
22-Feb-24,Thursday,February,Q1,2024,EQ,2936.30,2969.90,2916.00,2935.40,2962.20,2963.50,2944.65,2977.05,2220.30,9246864.00,273105.00
21-Feb-24,Wednesday,February,Q1,2024,EQ,2948.00,2977.05,2915.10,2942.05,2932.05,2935.40,2949.30,2977.05,2220.30,6360146.00,289896.00
20-Feb-24,Tuesday,February,Q1,2024,EQ,2950.05,2951.00,2923.60,2948.00,2941.45,2942.05,2937.06,2969.45,2220.30,3558748.00,172812.00
19-Feb-24,Monday,February,Q1,2024,EQ,2924.10,2959.00,2907.05,2921.15,2940.00,2948.00,2934.52,2969.45,2220.30,3364914.00,143935.00
16-Feb-24,Friday,February,Q1,2024,EQ,2952.95,2954.00,2917.10,2941.20,2925.00,2921.15,2932.13,2969.45,2220.30,4883749.00,170212.00
15-Feb-24,Thursday,February,Q1,2024,EQ,2966.70,2969.45,2933.05,2962.75,2944.50,2941.20,2946.03,2969.45,2220.30,5003391.00,236768.00
14-Feb-24,Wednesday,February,Q1,2024,EQ,2915.00,2967.30,2915.00,2930.20,2963.60,2962.75,2943.59,2967.30,2220.30,3558944.00,200869.00
13-Feb-24,Tuesday,February,Q1,2024,EQ,2911.00,2958.00,2908.00,2904.70,2926.20,2930.20,2934.72,2958.00,2220.30,3857797.00,178755.00
12-Feb-24,Monday,February,Q1,2024,EQ,2921.50,2922.00,2884.70,2921.50,2904.00,2904.70,2900.64,2949.80,2220.30,3337215.00,170350.00
09-Feb-24,Friday,February,Q1,2024,EQ,2908.00,2943.95,2901.90,2900.25,2917.30,2921.50,2924.38,2949.80,2220.30,6278399.00,248252.00
08-Feb-24,Thursday,February,Q1,2024,EQ,2900.00,2918.95,2855.05,2884.30,2916.00,2900.25,2882.90,2949.80,2220.30,7347317.00,320055.00
07-Feb-24,Wednesday,February,Q1,2024,EQ,2871.85,2899.00,2858.50,2855.60,2885.00,2884.30,2876.04,2949.80,2220.30,4648284.00,228951.00
06-Feb-24,Tuesday,February,Q1,2024,EQ,2883.70,2883.70,2839.65,2878.05,2854.75,2855.60,2859.49,2949.80,2220.30,4523992.00,240512.00
05-Feb-24,Monday,February,Q1,2024,EQ,2921.50,2941.00,2863.05,2915.40,2879.45,2878.05,2907.30,2949.80,2220.30,4407216.00,197343.00
02-Feb-24,Friday,February,Q1,2024,EQ,2866.35,2949.80,2866.35,2853.30,2913.00,2915.40,2913.44,2949.80,2220.30,9826294.00,420949.00
